judul,link,tanggal,deskripsi,teks
[SALAH] Salam 3 Jari dari Anies Bentuk Dukungan ke Pramono—Rano,https://turnbackhoax.id/2024/10/30/salah-salam-3-jari-dari-anies-bentuk-dukungan-ke-pramono-rano/,"Oktober 30, 2024","Faktanya, belum ada dukungan resmi Anies untuk pasangan manapun di Pilkada Jakarta 2024.",Terjadi kesalahan: 502
[SALAH] Prabowo Ancam Penghujat Pemimpin akan Berurusan dengan Aparatur Negara,https://turnbackhoax.id/2024/10/30/salah-prabowo-ancam-penghujat-pemimpin-akan-berurusan-dengan-aparatur-negara/,"Oktober 30, 2024",Tidak ada sumber valid yang membenarkan Presiden Prabowo menyampaikan ancaman tersebut.,"Tidak ada sumber valid yang membenarkan Presiden Prabowo menyampaikan ancaman tersebut.Narasi “Presiden Prabowo sebut rakyat akan berurusan dengan aparatur negara jika menghujat pemimpin” merupakan konten palsu (fabricated content).Akun X “ike_hw71” pada Jumat (25/10/2023) mengunggahfoto[arsip] berisi informasi Presiden Prabowo mengancam rakyat yang menghina pemimpin.Berikut narasi lengkapnya:“Breaking News. Prabowo Sampaikan: Saya Tegaskan, Bahwa Tidak Ada Lagi Rakyat, yang Menghujat Kepala Negara, Siapa yang Mencoba Hujat Pemimpin nya Dia Bakal Berurusan Sama Aparatur Negara”.Hingga Rabu (30/10/2024) unggahan telah mendapatkan lebih dari 13 ribu tanda suka dan diunggah ulang lebih dari 1.700 kali. Terdapat sekitar 1.000 komentar, mayoritas  mempercayai informasi dalam konten.Pemeriksaan FaktaPemeriksa Fakta Mafindo (TurnBackHoax) melalui mesin pencarian Google memasukkan beberapa kata kunci sesuai narasi yang disebutkan dalam unggahan. Hasilnya, tidak ditemukan sumber dari pemberitaan valid yang dapat dijadikan bukti Presiden Prabowo menyampaikan ancaman tersebut.Penelusuran gambar unggahan keGoogle Lensjuga tak mengarah ke sumber yang mendukung klaim, salah satunya pemberitaanantaranews.com“Pidato Lengkap Presiden RI Prabowo Subianto”.Dalam kesempatan itu, Prabowo tak mengungkapkan pernyataan yang bersifat ancaman terhadap rakyat yang menghujat pemimpin.KesimpulanNarasi “Presiden Prabowo sebut rakyat akan berurusan dengan aparatur negara jika menghujat pemimpin” merupakan konten palsu (fabricated content).(Ditulis oleh Moch. Marcellodiansyah)12"
[SALAH] Menkes Budi Sebut Lockdown Pandemi Selanjutnya Bagian dari Great Reset,https://turnbackhoax.id/2024/10/30/salah-menkes-budi-sebut-lockdown-pandemi-selanjutnya-bagian-dari-great-reset/,"Oktober 30, 2024",Tidak ada pernyataan Menkes Budi tentang lockdown menjadi bagian dari great reset.,"Tidak ada pernyataan Menkes Budi tentang lockdown menjadi bagian dari great reset.Narasi “Menkes Budi sebut lockdown pandemi selanjutnya bagian dari great reset” merupakan konten yang menyesatkan (misleading content).Akun Instagram “_bougenville2nd” pada Senin (21/10/2024) mengunggahvideo[arsip] yang menampilkan Menteri Kesehatan (Menkes) Budi Gunadi memberi pernyataan akan ada lockdown di pandemi selanjutnya. Perkataan itu dikaitkan dengan agenda great reset dan new world order.Berikut narasi lengkapnya:“SIGNAL KUAT AGENDA GREAT RESET – NEW WORLD ORDER”“LOCKDOWN 100% RAKYAT DI NEXT PANDEMIC”“Repost pernyataan menkes Signal kuat Agenda Great Reset New world order, kedaulatan Rakyat di tangan antek Asing. 🚨LockDown Pergerakan 100% di next Pandemic🤧 Bayang² Teror ketakutan dari Elite Sudah Didepan mata, entah dalam bentuk KLB/ Pandemic Global. Hasbunallah wa ni’mal wakil”.Hingga Rabu (30/10/2024) unggahan telah ditayangkan hampir 20 ribu kali dan disukai 409 akun. Terdapat 19 komentar, mayoritas mempercayai informasi dalam konten tersebut.Pemeriksaan FaktaDisadur dari artikelCek Fakta Tempo.Berdasarkan penelusuran oleh Tim Cek Fakta Tempo, potongan video berasal dari kanal YouTubeASEAN BAC INDONESIA 2023. Menkes Budi kala itu menjadi pembicara dalam  pertemuan B20 Summit 2022 di Nusa Dua, Bali pada 13—14 November 2022.Potongan unggahan “_bougenville2d” itu diambil saat Menkes Budi membahas para pebisnis yang memiliki peran besar dalam menangani isu-isu kesehatan atau jika pandemi kembali melanda.Menkes Budi meminta kalangan pebisnis dapat berinvestasi pada sektor kesehatan supaya layanan kesehatan makin memadai.Tidak ada pernyataan Menkes Budi tentang lockdown menjadi bagian dari great reset (sebuah gagasan kontroversial dari Klaus Schwab, kepala Forum Ekonomi Dunia (WEF) pada 2020 sebagai upaya memanfaatkan momentum pandemi Covid-19 dalam merancang ulang dunia). Namun, gagasan tersebut ditolah oleh beberapa tokoh dan lembaga resmi.KesimpulanNarasi “Menkes Budi sebut lockdown pandemi selanjutnya bagian dari great reset” merupakan konten yang menyesatkan (misleading content).(Ditulis oleh Moch. Marcellodiansyah)12"
[SALAH] Prabowo Bilang “Setujukah Rakyat kalau Putra Putri Anda Ikut Wajib Militer?”,https://turnbackhoax.id/2024/10/30/salah-prabowo-bilang-setujukah-rakyat-kalau-putra-putri-anda-ikut-wajib-militer/,"Oktober 30, 2024","Hasil pencarian di Google mengarah ke pemberitaan CNBC Indonesia tahun 2020 berjudul “Tenang, Prabowo Tegaskan tak ada Wajib Militer Buat Warga +62”.","Hasil pencarian di Google mengarah ke pemberitaanCNBC Indonesiatahun 2020 berjudul “Tenang, Prabowo Tegaskan tak ada Wajib Militer Buat Warga +62”.Klaim Presiden Prabowo menanyakan “Setujukah Rakyat kalau Putra Putri Anda Ikut Wajib Militer?” merupakan konten palsu (fabricated content).Akun X “convomf” pada Minggu (27/10/2023) membagikanfoto[arsip] berisi informasi Presiden Prabowo menanyakan apakah rakyat setuju jika putra dan putri mengikuti wajib militer.Berikut narasi lengkapnya:“Breaking News. Prabowo Sampaikan: Setujukah Rakyat, Kalau Putra Putri Anda Ikut Wajib Militer??? Mentalnya Kuta dan Cinta NKRI”.Hingga Rabu (30/10/2024) unggahan tersebut telah dilihat hampir enam juta kali dan disukai lebih dari 48 ribu akun.Pemeriksaan FaktaPemeriksa Fakta Mafindo (TurnBackHoax) melalui mesin pencarian Google memasukkan beberapa kata kunci sesuai narasi yang disebutkan dalam unggahan. Hasilnya, tidak ditemukan pemberitaan valid yang menjadi bukti Presiden Prabowo menanyakan hal tersebut.Hasil pencarian di Google dengan kata kunci “Prabowo Sampaikan: Setujukah Rakyat, Kalau Putra Putri Anda Ikut Wajib Militer?” mengarah ke pemberitaanCNBC Indonesiatahun 2020 berjudul “Tenang, Prabowo Tegaskan tak ada Wajib Militer Buat Warga +62”.Dalam laporan CNBC Indonesia tersebut, Prabowo–yang saat itu sebagai menteri pertahanan–menegaskan tidak ada wajib militer bagi warga negara Indonesia yang ingin berpartisipasi dalam mengawal pertahanan negara.Penelusuran gambar unggahan ke Google Lens juga tak mengarah ke sumber yang mendukung klaim.Hasil pencarianmenemukan reportasekompas.tvyang menyebut presiden tidak bermaksud militeristik dengan mengadakan Retret Kabinet Merah Putih di Magelang, melainkan untuk menciptakan keselarasan, disiplin, dan kesetiaan di lingkungan kerja dalam kabinet pemerintahannya.KesimpulanKlaim Presiden Prabowo menanyakan “Setujukah Rakyat kalau Putra Putri Anda Ikut Wajib Militer?” merupakan konten palsu (fabricated content).(Ditulis oleh Moch. Marcellodiansyah)12"
[SALAH] Cagub Jakarta Pramono Anung dan Ketua DPR RI Puan Maharani Terlibat Korupsi e-KTP,https://turnbackhoax.id/2024/10/30/salah-cagub-jakarta-pramono-anung-dan-ketua-dpr-ri-puan-maharani-terlibat-korupsi-e-ktp/,"Oktober 30, 2024",KPK menjelaskan belum ada bukti yang kuat mengenai keterlibatan Pramono dan Puan dalam kasus korupsi e-KTP.,"KPK menjelaskan belum ada bukti yang kuat mengenai keterlibatan Pramono dan Puan dalam kasus korupsi e-KTP.Narasi “Pramono Anung dan Puan Maharani terlibat korupsi e-KTP” merupakan konten yang menyesatkan (misleading content).Di TikTok sejak Selasa (8/10/2024) beredarvideo[arsip] dari akun “doa__suci” berisi informasi yang menyebut Pramono Anung (calon gubernur Jakarta 2024) dan Puan Maharani (Ketua DPR RI) terlibat mega korupsi.Berikut potongan narasi dalam unggahan tersebut:“mega korupsi e-KTP”“Pentolan PDIP terlibat dalam mega korupsi e-KTP dengan kerugian negara sebesar Rp2,3 triliun, tapi tidak tersentuh hukum masyarakat tidak hilang ingatan tentang kasus media korupsi e-KTP yang menyeret Setya Novanto sebagai terdakwa dalam kesaksiannya di pengadilan Setya Novanto dengan. Gamblang menyebut ada 2 politisi PDIP, yaitu Puan Maharani dan Pramono Anung. Ke-2 nya masing-masing menerima US$500.000 atau sekitar Rp7,5 miliar”.Hingga Rabu (30/10/2024) unggahan ditonton lebih dari 250 kali dan disukai 3.800-an akun. Terdapat sekitar 1.100 komentar, mayoritas mempercayai informasi dalam konten itu.Pemeriksaan FaktaDari hasil penelusuran Tim Pemeriksa Fakta Mafindo (TurnBackHoax) tentang kasus korupsi e-KTP serta kaitannya dengan Pramono Anung dan Puan Maharani, tidak ditemukan bukti kuat keduanya terlibat korupsi.Dilansir daribbc.com, Setya Novanto—yang saat itu jadi terpidana kasus korupsi e-KTP—dalam sidang perkaranya (22 Maret 2018) menjelaskan pernah mendengar Pramono Anung dan Puan Maharani masing-masing mendapat US$500 ribu.Dari penjelasan tersebut, pada Jumat (23/03/2018) sebagaimana dikutip dariCNN Indonesia, juru bicara KPK menyatakan penjelasan Setya Novanto tersebut menjadi fakta baru yang akan dikonfirmasi dengan saksi-saksi dan bukti lainnya.Pada Selasa (1/10/2019) seperti yang dilansir darialinea.idAlexander Marwata—Wakil Ketua KPK—menyebut keterlibatan Pramono Anung dan Puan Maharani dalam korupsi e-KTP belum memiliki bukti yang cukup.DilaporkanVOA Indonesiapada Senin (26/03/2018), Pramono Anung dan Puan Maharani sama-sama membantah keterlibatan mereka dalam kasus korupsi e-KTP.Puan menyatakan ia tidak pernah membahas kasus korupsi e-KTP dengan Setya Novanto atau pihak lainnya yang terlibat saat menjadi Ketua Fraksi PDI-P (2009—2014), serta menegaskan fraksinya, saat proyek e-KTP dibahas, merupakan oposisi dari pemerintahan Susilo Bambang Yudhoyono.Pramono menjelaskan saat pembahasan proyek e-KTP, ia sedang menjadi Wakil Ketua DPR periode 2009—2014 yang mengkoordinasikan Komisi IV hingga Komisi VII, bukan ranah e-KTP.“Kalau ada orang yang memberi [uang] itu kan berkaitan dengan kewenangan kedudukan dan jabatan. Nah dalam hal ini saya gak pernah ngomong satu patah kata pun yang berkaitan dengan e-KTP,” jelas Pramono seperti yang dikutip dariVOA Indonesia.Hingga artikel ini dibuat pada Rabu (28/10/2024), tidak ada sumber valid yang menyatakan bahwa KPK memiliki bukti yang menetapkan Pramono Anung dan Puan Maharani sebagai tersangka dalam kasus korupsi e-KTP.KesimpulanDengan demikian, narasi “Pramono Anung dan Puan Maharani terlibat korupsi e-KTP” merupakan konten yang menyesatkan (misleading content).(Ditulis oleh Moch. Marcellodiansyah)12"
[PENIPUAN] Akun TikTok “King Kevin” Berbagi Hadiah,https://turnbackhoax.id/2024/10/30/penipuan-akun-tiktok-king-kevin-berbagi-hadiah/,"Oktober 30, 2024",Warganet bisa memeriksa media sosial milik King Kevin melalui tautan linktr.ee di akun Instagram resmi “kingkevinreal”.,"Warganet bisa memeriksa media sosial milik King Kevin melalui tautan linktr.ee di akun Instagram resmi “kingkevinreal”.Akun TikTok “kingkevinreall798” dan seluruh unggahannya adalah konten tiruan (impostor content).Sejak Rabu (02/10/2024), Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menemukan akun TikTok “kingkevinreall798” [arsip] berisi 13 video. Keseluruhan konten dari akun tersebut berisi program bagi-bagi hadiah dari King Kevin dengan cara beragam, seperti permainan mencocokkan gambar hingga ajakan untuk menyukai video dalam akun.Di bagian bio profil terdapat tautan nomor WhatsApp disertai narasi:“🌍ambil hadiah di bawah🎁👇👇👇👇👇👇👇👇👇👇wa[dot]me/message/GV3LBB6EXCWSP1”Per Selasa (29/10/2024) akun ini diikuti lebih dari 30 ribu pengguna dan disukai hampir 100 ribu akun.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) memulai pencarian dengan menelusuri akun Instagram resmi King Kevin “kingkevinreal” yang bercentang biru dengan 1,2 juta pengikut. Terlihat ada tautan linktr.ee di bio, berisi semua akun media sosial milik King Kevin.TurnBackHoax kemudian membuka laman TikTok dari linktr.ee tersebut. Diketahui, akun TikTok asli King Kevin adalah “kingkevin__” dengan centang biru yang diikuti 11 juta akun.KesimpulanAkun TikTok “kingkevinreall798” dan seluruh unggahannya adalah konten tiruan (impostor content).(Ditulis oleh Evarizma Zahra)12"
[PENIPUAN] Pesan WhatsApp Berisi Info Verifikasi SPT Tahunan,https://turnbackhoax.id/2024/10/30/penipuan-pesan-whatsapp-berisi-info-verifikasi-spt-tahunan/,"Oktober 30, 2024","Melalui akun Instagram resminya (ditjenpajakri), DJP mengingatkan adanya modus penipuan yang berpura-pura meminta masyarakat mengunduh aplikasi M-Pajak dari alamat atau laman mencurigakan.","Melalui akun Instagram resminya (ditjenpajakri), DJP mengingatkan adanya modus penipuan yang berpura-pura meminta masyarakat mengunduh aplikasi M-Pajak dari alamat atau laman mencurigakan.Pesan yang beredar merupakan konten tiruan (impostor content).Sejak Senin (21/10/2024) beredar pesan di Whatsapp [arsip] berisi imbauan dari Direktorat Jenderal Pajak (DJP) Kementerian Keuangan (Kemenkeu) ke masyarakat agar segera memverifikasi data untuk menyampaikan SPT Tahunan.Dalam pesan itu terdapat tautan yang diklaim mengarah ke aplikasi m-Pajak, disertai sejumlah foto berisi langkah pendaftaran aplikasi m-Pajak.Berikut narasi lengkapnya :“Mohon di konfirmasikan kepada kami jika data di atas sudah benar, apabila ada yang telah berubah anda di harapkan untuk memverifikasi/Pengkinian kembali data diri Wajib pajak nyaSemoga Saudara senantiasa dalam keadaan sehat dan dimudahkan dalam segala urusan.Salah satu kewajiban Saudara sebagai Wajib Pajak adalah menyampaikan SPT Tahunan dengan benar, lengkap, dan jelas serta melakukan pemutakhiran data secara mandiri pada menu Profil DJP Online Saudara.Demikian disampaikan, atas kerja sama yang baik kami ucapkan terima kasih.Direktorat Jendral Pajak Pajak Kita, Untuk kita”Pemeriksaan FaktaBerdasarkan penelusuran Tim pemeriksa fakta Mafindo (TurnBackHoax), diketahui pesan yang beredar melalui WhatsApp tersebut adalah modus penipuan.Melalui akunInstagramresminya (ditjenpajakri), DJP mengingatkan adanya modus penipuan yang berpura-pura meminta masyarakat mengunduh aplikasi M-Pajak dari alamat atau laman mencurigakan.Instansi ini menegaskan email resmi yang dikirimkan Kemenkeu—khususnya Direktorat Jenderal Pajak—hanya melalui domain @pajak.go.id. Masyarakat diminta mengabaikan pesan jika mendapatkannya selain dari domain resmi DJP.Masyarakat juga bisa menghubungi @kring_pajak, layanan telepon di 1500200, atau mengirimkan email ke informasi@pajak.go.id untuk melakukan konfirmasi bila mendapat email penipuan.KesimpulanPesan yang beredar merupakan konten tiruan (impostor content).(Ditulis oleh Raymondha Elsha)12"
[SALAH] Hasil Survei Cabup-Cawabup Subang 14 Oktober 2024: Nomor 2 Unggul,https://turnbackhoax.id/2024/10/30/salah-hasil-survei-cabup-cawabup-subang-14-oktober-2024-nomor-2-unggul/,"Oktober 30, 2024",Tidak ada lembaga kredibel yang merilis hasil survei di tanggal tersebut. Indikator mempublikasikan surveinya pada 13 Oktober dengan hasil paslon nomor satu mengantongi elektabilitas tertinggi.,"Tidak ada lembaga kredibel yang merilis hasil survei di tanggal tersebut. Indikator mempublikasikan surveinya pada 13 Oktober dengan hasil paslon nomor satu mengantongi elektabilitas tertinggi.Unggahan berisi informasi “Hasil Survei Cagub-Cawagub Subang 14 Oktober 2024” merupakan konten palsu (fabricated content).Akun TikTok “ellyslangi” pada Selasa (15/10/2024) mengunggahfoto[arsip] yang menunjukkan hasil survei 14 Oktober 2024 tentang calon bupati (cabup) dan calon wakil bupati (cawabup) Kabupaten Subang.Unggahan disertai narasi :“No 2 hasil survei paling tinggi”Per Selasa (29/10/2024), unggahan ditayangkan lebih dari 700 kali dan disukai 10 akun.Pemeriksaan FaktaTim pemeriksa fakta Mafindo (TurnBackHoax) mencari tahu sumber foto unggahan akun TikTok “ellyslangi” menggunakan Google Lens. Hasilnya, terdapat keterangan resmi dari lembaga survei Indikator Politik Indonesia (Indikator) yang meluruskan informasi tersebut.“Diedarkan juga data palsu seolah-olah dari Indikator,” tulis Indikator melalui akun X resmi (indikatorcoid) pada Rabu (23/10/2024), disertai foto yang serupa dengan unggahan akun TikTok “ellyslangi”.Indikator merilishasil survei Pilkada Subangpada Minggu (13/10/2024). Pasangan nomor 1 (Ruhimat (Kang Jimat)—Aceng Kudus) unggul dengan elektabilitas 67,7%, disusul pasangan nomor 2 (Asep Rochman—Lina Marliana) dan nomor 3 (Reynaldi Putra—Agus Masykur Rosyadi) masing-masing sebesar 16,8% dan 6,9%.KesimpulanUnggahan berisi informasi “Hasil Survei Cagub-Cawagub Subang 14 Oktober 2024” merupakan konten palsu (fabricated content).(Ditulis oleh Vania Astagina)12"
[SALAH] PKS Mundur dari Koalisi Indonesia Maju (KIM) Plus,https://turnbackhoax.id/2024/10/30/salah-pks-mundur-dari-koalisi-indonesia-maju-kim-plus/,"Oktober 30, 2024","Faktanya, tidak ditemukan informasi dari sumber kredibel tentang PKS mundur dari KIM Plus.","Faktanya, tidak ditemukan informasi dari sumber kredibel tentang PKS mundur dari KIM Plus.Unggahan berisi informasi “PKS mundur dari KIM Plus” merupakan konten yang menyesatkan (misleading content).Akun X “abu_waras” pada Kamis (24/10/2024) mengunggahfoto[arsip] berlatar logo PKS dengan keterangan “Kami Mundur dari Kim Plus dan Menolak Politik Dinasti” serta narasi:“Benarkah berita ini?Tapi kalaupun benar, Sorry yeeee……!Sorry yeeee……!Saya tidak kagum dan takjub….”Per Selasa (29/10/2024), unggahan tersebut dilihat lebih dari 40 ribu kali, disukai 761 akun, dan dibagikan ulang hampir 175 kali.Pemeriksaan FaktaTim pemeriksa fakta Mafindo (TurnBackHoax) melakukan penelusuran dengan memasukkan kata kunci “PKS mundur dari Koalisi Indonesia Maju (KIM) Plus” ke mesin pencarian Google.Hasilnya, tidak ditemukan pernyataan PKS telah mundur dari KIM Plus. Dilansir darikompas.com, PKS bergabung dengan KIM Plus sejak Selasa (20/08/2024). Presiden PKS Ahmad Syaikhu mengungkapkan keputusan bergabung dengan koalisi dan mendukung  pemerintahan Prabowo-Gibran merupakan hasil musyawarah Majelis Syuro PKS.KesimpulanUnggahan berisi informasi “PKS mundur dari KIM Plus” merupakan konten yang menyesatkan (misleading content).(Ditulis oleh Vania Astagina)12"
[PENIPUAN] Pendaftaran BBM Subsidi Lewat Akun atau Tautan Tidak Resmi,https://turnbackhoax.id/2024/10/30/penipuan-pendaftaran-bbm-subsidi-lewat-akun-atau-tautan-tidak-resmi/,"Oktober 30, 2024",Tautan dalam unggahan yang beredar mengarah ke penipuan.,"Tautan dalam unggahan yang beredar mengarah ke penipuan.Akun Facebook “Pendaftaran Barcode BBM Bersubsidi” dan seluruh unggahannya merupakan konten tiruan (impostor content).Akun Facebook “Pendaftaran Barcode BBM Bersubsidi” pada Rabu (23/10/2024) mengunggahfoto[arsip] disertai tautan dan narasi:“Daftar barcode BBM Subsidi tepat My Pertamina kini lebih mudah, klik link :https://bbmsubsidi1[dot]infobnspkh[dot]my[dot]id/”Per Selasa (29/10/2024), unggahan mendapat lebih dari 130 tanda suka dan 30-an komentar, mayoritas mempertanyakan kode referal dan barcode.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri akun Facebook “Pendaftaran Barcode BBM Bersubsidi” tersebut. Diketahui, akun itu bukanlah milik Pertamina dan baru dibuat Selasa (15/10/2024).TurnBackHoax kemudian coba mengakses tautan yang terlampir. Pengguna ternyata diarahkan untuk masuk melalui Telegram dan mengisi nama dan nomor telepon, lalu diminta untuk memasukkan kode yang ada dalam Telegram.Dilansir dari cnbcindonesia.com, pendaftaran BBM subsidi bisa dilakukan secara online melalui subsiditepat.mypertamina.id atau aplikasi MyPertamina. Dokumen yang harus disiapkan berupa KTP, STNK, foto kendaraan, hingga foto nomor polisi kendaraan.KesimpulanAkun Facebook “Pendaftaran Barcode BBM Bersubsidi” dan seluruh unggahannya merupakan konten tiruan (impostor content).(Ditulis oleh Vania Astagina)12"
