judul,link,tanggal,deskripsi,teks
"Kabel di Jalan Kembangan Jakbar Semrawut, Warga Usul Ditanam di Bawah Tanah",https://megapolitan.kompas.com/read/2024/10/30/19053851/kabel-di-jalan-kembangan-jakbar-semrawut-warga-usul-ditanam-di-bawah,30/10/2024,"Kabel di Jalan Kembangan Jakbar Semrawut, Warga Usul Ditanam di Bawah Tanah","JAKARTA, KOMPAS.com- Sejumlah warga yang sehari-harinya melintasi Jalan Raya Kembangan Utara, Jakarta Barat, berharap, kabel-kabel semrawut di sepanjang jalan tersebut dapat ditata, misalnya dengan ditanam di bawah tanah.Pasalnya, kabel di sepanjang jalan itu bukan hanya kusut, tetapi banyak juga yang menjuntai. Sehingga, dikhawatirkan membahayakan warga yang melintas.""Ditanam juga menurut saya pas. Supaya enggak terlihat semrawut lagi ya,"" ucap seorang warga bernama Lukman (38) saat ditemui di Jalan Raya Kembangan Utara, Rabu (30/10/2024).Lukman menyadari, butuh waktu lama dan biaya besar untuk memindahkan kabel-kabel tersebut ke bawah tanah.Baca juga:Semrawutnya Kabel di Jalan Kembangan Utara Jakbar, Ada yang Putus dan MenjuntaiOleh karenanya, menurut dia, sembari memindahkan kabel tersebut ke bawah tanah, pemerintah hendaknya merapikan kabel itu secara sementara.""Apalagi di daerah yang sering dilewati pengendara, takut ada yang terjerat gitu,"" kata Lukman.Warga lain bernama Reya (23) juga berpendapat hal yang sama. Ia berharap, Pemerintah Provinsi Jakarta bisa segera merealisasikan pemindahan kabel-kabel semrawut di Jalan Raya Kembangan Utara ke bawah tanah.""Ya semoga program pemerintah itu bisa dipercepat dan terlaksana ya. Soalnya berbahaya sekali,"" ucap dia.Terpisah, Kepala Suku Dinas (Sudin) Binamarga Jakarta Barat Darwin Ali berjanji segera berkoordinasi dengan pihak-pihak pemilik utilitas untuk melakukan penataan di jalanan tersebut.Sejauh ini, kata Darwin, petugas sudah merapikan kabel-kabel semrawut tersebut di dua titik di Jalan Kembangan Utara Raya.""Sudah dua titik kami rapikan,"" ucap Darwin.Sebelumnya diberitakan, semrawutnya kabel di tiang-tiang listrik menjadi pemandangan yang mencolok di sepanjang Jalan Kembangan Utara Raya, Jakarta Barat.Baca juga:Pejalan Kaki Kerap Tersandung Kabel Fiber Optik yang Mencuat di Kebon JerukTampak kabel-kabel kusut tergulung di tiang. Banyak pula kabel yang melintang dari satu tiang ke yang lain. Bahkan, beberapa kabel terlihat putus dan menjuntai.Berdasarkan penelusuranKompas.compada Rabu (30/10/2024) pagi, dalam jarak 500 meter saja, setidaknya ada lima kabel putus yang menjuntai dan hampir menyentuh tanah.Sementara, tinggi kabel-kabel yang melintang hanya sekitar empat sampai lima meter dari permukaan tanah.Akibatnya, setiap kali truk muatan melintas di jalan ini, ujungnya nyaris mengenai kabel semrawut tersebut.Tak hanya itu, beberapa tiang listrik pun tampak miring.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Bocah yang Disandera di Pospol Pejaten Kini Dipulihkan di ""Safe House""",https://megapolitan.kompas.com/read/2024/10/30/19041801/bocah-yang-disandera-di-pospol-pejaten-kini-dipulihkan-di-safe-house,30/10/2024,"Bocah yang Disandera di Pospol Pejaten Kini Dipulihkan di ""Safe House""","JAKARTA, KOMPAS.com- Jajaran Polres Metro Jakarta Timur memastikan ZP (5), korban penculikan dan penyanderaan di Pejaten, Pasar Minggu, Jakarta Selatan, dalam kondisi baik.""Kondisi anak dalam keadaan baik, sudah terkendali, kami telah berkoordinasi berkolaborasi dengan pihak-pihak terkait untuk memulihkan psikologis anak,"" ujar Kapolres Metro Jakarta Timur Kombes Pol Nicolas Ary Lilipaly di Mapolres Metro Jakarta Timur, Rabu (30/10/2024).Baca juga:Pria yang Culik dan Sandera Anak di Pospol Pejaten Pinjam Rp 300.000 ke Ibu Korban untuk Beli NarkobaKini, korban berada dalam pengawasan Pelayanan Perempuan dan Anak (PPA) Polres Metro Jakarta Timur.""Jadi anak masih dalam pengawasan kami di tempat perlindungan,safe house,"" imbuh dia.Diketahui, pelaku bernama Indra Jaya (54) menyandera ZP di pos polisi (pospol) seberang The Park Pejaten, Pasar Minggu, Jakarta Selatan, Senin (28/10/2024).Awalnya, Indra menyambangi rumah orangtua korban, E, di Jakarta Timur pada Minggu (27/10/2024) pukul 09.00 WIB.Keluarga tidak menaruh rasa curiga ke pelaku karena mereka sudah saling kenal selama dua bulan terakhir.Oleh karena itu, E beraktivitas seperti biasa di rumahnya. E memasak di dapur, lantas menjajakan masakannya pada sore hari.“Pukul 16.00 WIB, pelapor (E) keluar rumah untuk berjualan. Namun, satu jam kemudian, pelaku (Indra Jaya) menyusul ke tempat berjualan,” kata Ade dalam keterangannya, Selasa (29/10/2024).“Lalu pelaku menggendong korban dan akan diajak meminjam sepeda motor,” imbuh dia.Baca juga:Anak yang Disandera di Pospol Pejaten Juga Disiksa PelakuBeberapa jam kemudian, E mendapatkan informasi dari warga bahwa pelaku membawa korban. Oleh karenanya, E meninggalkan lapaknya untuk mencari anak perempuannya itu. Namun, hasilnya nihil.Keesokan harinya atau Senin (28/10/2024) pagi, seorang petugas polisi dari Babinkamtibmas mendatangi rumah orangtua korban karena ada peristiwa penyanderaan seorang bocah di Pospol The Park Pejaten.“Setelah diberitahukan bahwa'Apakah punya anak perempuan bernama ZP?'. Kemudian menjawab,'Benar, anak saya hilang atau diculik oleh pelaku',” ujar Ade.E lantas mendatangi Polres Metro Jakarta Timur. Ia diperlihatkan video viral yang menunjukkan aksi penyanderaan Indra terhadap ZP di Pospol The Park Pejaten.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
OIKN Ungkap Progres Kompleks Istana IKN Sudah di Atas 95 Persen,https://nasional.kompas.com/read/2024/10/30/19015191/oikn-ungkap-progres-kompleks-istana-ikn-sudah-di-atas-95-persen,30/10/2024,OIKN Ungkap Progres Kompleks Istana IKN Sudah di Atas 95 Persen,"JAKARTA, KOMPAS.com- Deputi Bidang Sarana dan Prasarana Otorita Ibu Kota Nusantara (OIKN) Danis Hidayat Sumadilaga mengatakan, progres pembangunan Kompleks Istana di IKN sudah mencapai 95 persen.Hal itu disampaikan dalam rapat dengar pendapat dengan Komisi II DPR RI di Kompleks Parlemen, Senayan, Jakarta, Rabu (30/10/2024).“Kompleks Kepresidenan ini yang kemarin digunakan untuk 17 Agustus ini terdiri dari Istana Garuda, Istana Negara, dan juga ada Kantor Sekretariat Presiden dan juga ada Kantor Sekretariat Negara ini rata-rata sudah di atas 95 persen,” ujar Danis.Baca juga:Menteri PU Tegaskan IKN Tetap Jalan, tapi Prioritas Sekarang Swasembada PanganBerdasarkan materi presentasi yang disampaikan oleh OIKN, Kantor Sekretariat Presiden sudah mencapai persentase 96 persen.Kemudian, pembangunan Istana Garuda telah mencapai 99,1 persen dan pembangunan Istana Negara dan Lapangan Upacara di angka 87,6 persen.Lalu Kantor Kemensetneg berada di persentase 99,1 persen.Ia juga menyampaikan progres pembangunan kantor kementerian koordinator (kemenko).“Kantor Kemenko sudah ada, yaitu kantor kemenko I sampai IV, ini memang 4 kemenko mengacu pada kemenko yang lama, tetapi ini itu 4 kluster sebenarnya, 4 kali 4 ada 16 building,” paparnya.Baca juga:Sampai Oktober 2024, Kementerian PU Guyur IKN Rp 41,90 TriliunTak hanya itu, pembangunan rumah tapak menteri juga terus berjalan di IKN.Danis menceritakan, saat ini progresnya telah mencapai 93,9 persen.Meski begitu, rumah tapak menteri yang disediakan jumlahnya masih sesuai nomenklatur kementerian Kabinet Indonesia Maju di era pemerintahan Presiden Joko Widodo.“Kemudian fasilitas rumah tapak jabatan menteri yang disiapkan adalah 36 rumah saat ini,” imbuh dia.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Tak Ada Akun Instagram Resmi Wapres, Kegiatan Gibran Bakal Diunggah di Akun Presiden RI",https://nasional.kompas.com/read/2024/10/30/18490471/tak-ada-akun-instagram-resmi-wapres-kegiatan-gibran-bakal-diunggah-di-akun,30/10/2024,"Tak Ada Akun Instagram Resmi Wapres, Kegiatan Gibran Bakal Diunggah di Akun Presiden RI","JAKARTA, KOMPAS.com- Kepala Kantor Komunikasi Kepresidenan/PCO Hasan Nasbi mengatakan, aktivitas Wakil PresidenGibran RakabumingRaka akan disosialisasikan di akunInstagramyang sama dengan PresidenPrabowo Subianto, @presidenrepublikindonesia.Hal ini menjawab adanya akun baru untuk Presiden RI Prabowo Subianto yang dikelola oleh Kantor Komunikasi Kepresidenan, namun belum ada akun yang dibuat secara khusus untuk Gibran.Terkait hal itu Hasan juga menegaskan, akun baru tersebut adalah akun lembaga yang sudah mencakup Presiden dan Wakil Presiden.""Nanti kita lihat. Ini kan diperuntukkan kemarin untuk lembaga kepresidenan. Lembaga kepresidenan itu ya presiden dan wakil presiden. Jadi aktivitas-aktivitas wakil presiden juga akan ada di situ,"" kata Hasan di Kompleks Istana Kepresidenan, Jakarta Pusat, Rabu (30/10/2024).Baca juga:Prabowo Punya Akun IG Baru @presidenrepublikindonesia, Jadi Akun Resmi Lembaga KepresidenanHasan menuturkan, akun tersebut memang disiapkan agar Indonesia memiliki akun lembaga kepresidenan, sama seperti di Amerika Serikat (AS).Diketahui, AS memiliki akun Instagram khusus untuk Presiden dengan nama @potus.Dengan begitu, akun-akun tersebut tidak terikat dengan orang-orang pribadi sebagai pemilik akun.""Kalau di luar negeri kan kalau di Amerika misalnya ada Potus. Jadi siapa pun presiden dia menggunakan channel itu. Jadi nanti di kita, siapa pun presidennya dia akan menggunakan @presidenrepublikindonesia,"" ungkapnya.Baca juga:Ini Akun Instagram Resmi Republik Indonesia dan Presiden RI PrabowoLihat postingan ini di InstagramSebuah kiriman dibagikan oleh Presiden Republik Indonesia (@presidenrepublikindonesia)Lebih lanjut Hasan menyampaikan, PCO belum memiliki rencana untuk membuat akun serupa di kanal lainnya, seperti TikTok maupun di YouTube.""Kita belum tahu. Sekarang yang verified baru yang di Instagram. Kita belum tahu nanti kita lihat,"" jelas Hasan.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Soal Haji 2025, Menag Akan Diskusi dengan Badan Penyelenggara Haji",https://nasional.kompas.com/read/2024/10/30/18480461/soal-haji-2025-menag-akan-diskusi-dengan-badan-penyelenggara-haji,30/10/2024,"Soal Haji 2025, Menag Akan Diskusi dengan Badan Penyelenggara Haji","JAKARTA, KOMPAS.com- Menteri Agama (Menag) Nasaruddin Umar mengatakan pihaknya masih akan melakukan diskusi dengan Badan PenyelenggaraHajiterkait pelaksanaan ibadahhajitahun 2025.""Kita sangat optimis dengan adanya badan ini ya. Duduk bersama kita nanti,"" kata Nasaruddin di Kompleks Parlemen, Jakarta, Rabu (30/10/2024).Menag mengatakanBadan Penyelenggara Hajisetara dengan Kementerian Agama.Ia berharap adanya badan baru ini membuat urusan pelaksanaan haji semakin fokus.Baca juga:Kemenag Usung Tema Haji Ramah Lansia dan Disablitas untuk 2025""Nanti kita berharap dengan adanya badan pelaksanaan haji ini, konsentrasi penuh bisa diberikan untuk mengelola haji umrah ini,"" tuturnya.Menurutnya, Kementerian Agama juga akan lebih fokus mengurus persoalan agama sehingga ke depannya bisa menjadi lebih produktif dan proaktif.""Jadi nanti Kementerian Agama akan lebih ramping ya, lebih berkonsentrasi mengurus persoalan-persoalan keumatan, misalnya kebinmasan ya, binmas Islam, binmas Kristen, Katolik, Hindu, Buddha, Konghucu, ditambah dengan pondok pesantren dan pendidikan agama,"" katanya.Baca juga:Kemenag Umumkan Jadwal Seleksi Petugas Haji 4 November, Ini SyaratnyaSebelumnya urusan haji di bawahi Kementerian Agama. Namun, kini Presiden Prabowo Subianto membentuk Badan Penyelenggara Haji.Prabowo pun telah melantik K.H. Mochamad Irfan Yusuf (Gus Irfan) sebagai Kepala Badan Penyelenggara Haji dan Dahnil Anzar Simanjuntak sebagai wakil kepala.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
Pramono Anung Bakal Sediakan Wifi Gratis di Setiap Masjid Jakarta,https://megapolitan.kompas.com/read/2024/10/30/18452661/pramono-anung-bakal-sediakan-wifi-gratis-di-setiap-masjid-jakarta,30/10/2024,Pramono Anung Bakal Sediakan Wifi Gratis di Setiap Masjid Jakarta,"JAKARTA, KOMPAS.com -Calon gubernur Jakarta nomor urut 3 Pramono Anung bakal menyediakan wifi gratis di setiap masjid di Jakarta jika terpilih sebagai gubernur Jakarta.Janji tersebut dilontarkan oleh Pramono Anung setelah seorang pemuda di Condet, Jakarta Timur meminta penyediaan wifi gratis di setiap masjid kepada cagub asal PDI-P itu.""Permintaan para pemuda yang masjidnya dikelola oleh mereka, mereka butuh ruang untuk tempat bisa berkumpul, bisa berorganisasi, memerlukan wifi, dan wifi kan sekarang bukan sesuatu yang mahal. Masa CCTV saja bisa, wifi tidak bisa?"" ujar Pramono Anung di Jakarta Timur, Rabu (30/10/2024).Baca juga:Pramono Sebut Baliho Ridwan Kamil Berbaju Persib Dukung Persija Bukan Ulah PendukungnyaLanjut Pramono menyebut, penyediaan wifi gratis di setiap masjid sangat dimungkinkan oleh Pemprov Jakarta karena dana yang dibutuhkan tidak begitu besar.Pramono memberikan perbandingannya dengan program sarapan gratis yang dia rencanakan.""Saya yakin kalau untuk wifi, kebutuhan dananya kecil dibandingkan dengan makan sarapan gratis saja pasti jauh lebih tinggi sarapan pagi,"" kata Pramono.Selain itu, Pramono menyebut bahwa ketersediaan internet memang menjadi hal yang mesti diberikan kepada masyarakat Jakarta secara gratis.Baca juga:Pramono Anung Datang ke Kampung Tanah Merah, Warga Sambut hingga Sesaki GangDia juga menyatakan, dalam satu atau dua tahun ke depan, semua ruang publik di Jakarta mesti menyediakan internet gratis bagi masyarakat.""Dan kebutuhan wifi, cepat atau lambat, satu sampai dua tahun ke depan harus semua ruang publik itu ada wifi,"" tambah dia.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Jelang Pilkada, Wamenko Polkam Minta BIN Lakukan Operasi Intelijen Terpadu",https://nasional.kompas.com/read/2024/10/30/18404461/jelang-pilkada-wamenko-polkam-minta-bin-lakukan-operasi-intelijen-terpadu,30/10/2024,"Jelang Pilkada, Wamenko Polkam Minta BIN Lakukan Operasi Intelijen Terpadu","JAKARTA, KOMPAS.com- Wakil Menteri Koordinator bidang Politik dan Keamanan (Wamenko Polkam) Lodewijk F Paulus meminta, Badan Intelijen Negara (BIN) melakukan operasi intelijen terpadu, menjelangPilkadaserentak 2024.Operasi itu dinilai perlu dilakukan agar terciptaearly warning system. Sehingga kegiatan deteksi dini dan cegah dini bisa lebih optimal.Hal ini ia sampaikan saat memimpin rapat koordinasi terkait dengan persiapan Pilkada Serentak 2024, Rabu (30/10/2024).“BIN agar lakukan operasi intelijen terpadu agar terciptanyaearly warning system,” kata Lodewijk dalam keterangan yang dibagikan Humas Kemenko Polhukam, Rabu.Baca juga:Wamenko Polkam: Pilkada Beririsan dengan 8 Program Cepat Pemerintahan PrabowoIa menambahkan, sejauh ini sudah ada pemetaan terkait tingkat kerawanan masing-masing daerah pada saat pelaksanaan Pilkada 2024.Setidaknya, ada tiga kategori tingkat kerawanan, yaitu rawan tinggi, rawan sedang dan rawan rendah. Nantinya, perhatian yang diberikan untuk masing-masing daerah akan menyesuaikan dengan tingkat kerawanannya.Lodewijk pun mencontohkan Papua, dimana punya empat provinsi yang masuk ke dalam kategori daerah rawan tinggi karena adanya permasalahan sosial.“Pemerintah di Merauke sedang membangunfood estate, ini tentunya perlu kita dukung bersama. Jadi Pilkada berjalan,food estateberjalan, sehingga ke depan akan berjalan berimbang,” ujar Lodewijk.Selain soal keamanan, Lodewijk juga meminta kementerian/lembaga terkait untuk mengawasi masalah lain seperti partisipasi masyarakat dalampilkadaserentak, pemberitaan media yang akurat, berimbang dan tidak menyebar hoaks, serta menjaga netralitas ASN, TNI/Polri.Baca juga:Polda Sumut Jawab Tuduhan Keterlibatan Jenderal Bintang Satu di PilkadaMenurutnya, netralitas menjadi hal penting untuk penyelenggaraan pilkada yang lebih berintegritas dan meningkatkan kualitas demokrasi Indonesia.“Perlu komitmen kita bersama dalam melaksanakan nilai-nilai netralitas sesuai dengan regulasi yang berlaku,” kata Wamenko Polkam.“Setelah rakor ini, para Menteri dan Kepala Lembaga akan rapat dengan Menko Polkam untuk mengecek terakhir. Kemudian akan ada kunjungan ke lapangan untuk melihat sejauh mana yang dinyatakan rawan dan mana yang dikatakan aman. Kita akan mengecek di lapangan kesiapan dari aparat maupun penyelenggara pemilu di hari pencoblosan nanti,” pungkasnya.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
Pengamat Minta Sertifikasi Maung Pindad Dijelaskan sebelum Jadi Mobil Kendaraan Dinas Pejabat,https://nasional.kompas.com/read/2024/10/30/18353501/pengamat-minta-sertifikasi-maung-pindad-dijelaskan-sebelum-jadi-mobil,30/10/2024,Pengamat Minta Sertifikasi Maung Pindad Dijelaskan sebelum Jadi Mobil Kendaraan Dinas Pejabat,"JAKARTA, KOMPAS.com- Pengamat kebijakan publik Agus Pambagio meminta pemerintah menjelaskan sertifikat mobil Maung buatan PT Pindad (Persero) sebagai mobil dinas para pejabat.Agus berpandangan, pemerintah tidak bisa begitu saja mengeklaim Maung buatan Pindad yang diwacanakan untuk mobil operasional menteri itu murni buatan Indonesia tanpa ada bukti sertifikat.“Kan tidak bisa ujug-ujug ada mobil buatan Pindad, itu dari mana mesinnya? siapa yang bikin gear box-nya? itu kan perlu kita tahu dulu,” kata Agus dalam program Obrolan Newsroom Kompas.com, Rabu (30/10/2024).Baca juga:KSP Sebut Pemerintah Ingin Produksi 10.000 Maung, 5.000 Unit di 100 Hari PertamaAgus menyampaikan, mobil produksi Pindad yang digunakan oleh TNI menggunakan mesin dan sasis Toyota Hilux 2GD FPV.Menurutnya, jika Maung Pindad yang diproduksi untuk mobil pejabat adalah produk baru, maka harus memiliki Sertifikat Registrasi Uji Tipe (SRUT).“Kalau mobil baru itu kan aturannya harus ada sertifikat registrasi uji tipe, nah waktu itu enggak masalah untuk TNI, tetapi ketika mau dibuat untuk sipil itu pemegang merek itu Toyota berkeberatan,” kata Agus.“Tentu kita harus lihat bagaimana perjanjiannya untuk membuat versi Maung militer ya kan, nah tiba-tiba muncul Maung Garuda yang terbaru,” ucapnya.Baca juga:KSP Sebut Menteri dan Pejabat Eselon I Wajib Gunakan Maung sebagai Mobil DinasAgus pun meminta pemerintah untuk mengungkap sertifikasi Maung yang direncakanan untuk mobil dinas para pejabat.Terlebih, komponen mobil untuk operasional para menteri dan pejabat eselon I itu disebut-sebut hasil produksi SsangYong, dari Korea Selatan.“Ini masih pakai yang Toyota atau tidak? Kalau tidak kan enggak bisa karena kan SRUT-nya kan enggak keluar, ya kan,” kata Agus.“Kemudian juga apakah sudah ada izin sari Toyota? Ternyata saya dapat info itu beda lagi, mesinnya, katanya SsangYong, itu dari Korea” ucapnya melanjutkan.Baca juga:Istana Ungkap Alasan Menteri Harus Pakai Maung: Prabowo Bangga Produksi PindadAgus pun mengaku khawatir jika Maung Pindad yang digunakan untuk para menteri ternyata tidak murni produksi dalam negeri.Ia lantas menyinggung mobil Timor yang digembar-gemborkan pada era Presiden Soeharto gagal menjadi kendaraan nasional.“Jadi sebelum itu ditetapkan menjadi mobil pejabat VVIP Indonesia, mohon itu dipenuhi dulu semuanya, jangan kasus Timor berulang, Timor kan cuma mengubah emblemnya saja,” kata Agus.“Ini saya khawatir kalau ini jadi persoalan kan malu masa VVIP pakai mobil bajakan misalnya, kita belum tahu nih statusnya si Maung Garuda ini dengan mesin apa?” imbuhnya.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Anak Meita Irianty Dirundung Imbas Kasus Penganiayaan Balita, Ahli: Harus Dapat Perlindungan",https://megapolitan.kompas.com/read/2024/10/30/18335851/anak-meita-irianty-dirundung-imbas-kasus-penganiayaan-balita-ahli-harus,30/10/2024,"Anak Meita Irianty Dirundung Imbas Kasus Penganiayaan Balita, Ahli: Harus Dapat Perlindungan","DEPOK, KOMPAS.com- Ahli psikologi forensik Reza Indragiri menyebut, anakMeita Irianty, pemilikdaycareWensen School Depok sekaligus terdakwa penganiayaan balita, bisa mendapat perlindungan khusus.Hal itu disampaikan Reza menanggapi pernyataan Meita yang mengungkap bahwa anaknya yang baru berusia delapan tahun dirundung usai kasus penganiayaan balita ini mencuat.Adapun Reza dihadirkan sebagai saksi ahli oleh pihak Meita dalam sidang yang digelar di Pengadilan Negeri (PN) Depok, Rabu (30/10/2024).Baca juga:Meita Irianty Ungkap Anaknya Dirundung Usai Kasus Penganiayaan Balita Mencuat“Ketika terdakwa (Meita) anaknya di-bully, berarti anak itu harus dapat perlindungan khusus,” kata Reza dalam persidangan.Menurut Reza, anak Meita dapat dikategorikan sebagai anak korban stigma akibat perbuatan orangtuanya.Sebagaimana bunyi Undang-undang (UU) Nomor 35 Tahun 2014 tentang Perubahan Atas UU Nomor 23 Tahun 2002 tentang Perlindungan Anak, khususnya Pasal 59 ayat 2 poin (o), anak korban stigma akibat perbuatan orangtua berhak mendapat perlindungan.“Karena statusnya sama-sama anak, ini untuk mempertegas bahwa kita tidak boleh meminggirkan anak dalam kasus ini,” ungkap Reza.Adapun Meita menyebut, dugaan perundungan itu pertama kali ia ketahui saat anaknya sedang berkunjung ke rutan.Meita bilang, sang anak dirundung lingkungan sekitar yang menyebut dirinya merupakan seorang pembunuh.“Dia bilang ‘Gimana kalau aku jadi pembunuh saja biar bareng ibu masuk penjara?’,” ujar Meita.Sebelumnya diberitakan, dalam sidang perdana yang digelar Rabu (16/10/2024), Meita didakwa menganiaya dua balita berinisial MK (2) dan AM (9 bulan). Penganiayaan itu pertama kali dilakukan terhadap MK pada Senin (10/6/2024).Baca juga:Psikolog Forensik: Meita Irianty Aniaya Balita Bisa karena Sifat atau Pengaruh Lingkungan""Terdakwa memukul pantat kiri, mencubit lengan, dan kembali memukul pantat korban,"" ungkap hakim Edrus di ruang sidang.Selain itu, Meita juga diduga mendorong, memukul, dan menendang kaki korban.Sementara itu, terhadap korban AM yang masih berusia 9 bulan saat kejadian, penganiayaan terjadi pada Selasa (11/6/2024) dan Rabu (12/6/2024).""Terdakwa menarik tangan kiri AM dengan kasar dan mencubit pantat korban beberapa kali, lalu mendorong kepala belakang korban,"" ujar Edrus.Meita pun didakwa berdasarkan Pasal 80 ayat 2 dan Pasal 80 ayat 1 Undang-Undang RI Nomor 35 Tahun 2014 tentang Perubahan atas UU Nomor 23 Tahun 2002 tentang Perlindungan Anak Juncto Pasal 65 ayat (1) KUHP, dengan ancaman pidana 15 tahun penjara.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Sejumlah Polisi Datangi Tempat Usaha di Bekasi Terkait Izin, Polda Metro Klaim Sesuai Prosedur",https://megapolitan.kompas.com/read/2024/10/30/18222301/sejumlah-polisi-datangi-tempat-usaha-di-bekasi-terkait-izin-polda-metro,30/10/2024,"Sejumlah Polisi Datangi Tempat Usaha di Bekasi Terkait Izin, Polda Metro Klaim Sesuai Prosedur ","JAKARTA, KOMPAS.com- Beberapa anggota polisi mendatangi tempat usaha warga di Mutiara Gading Timur Cluster Palermo, Babelan, Kabupaten Bekasi.Mereka disebut hendak menelusuri apakah Nomor Induk Berusaha (NIB) dan Klasifikasi Baku Lapangan Usaha Indonesia (KBLI) pada tempat usaha tersebut sesuai atau tidak.Peristiwa tersebut direkam dan diunggah di media sosial oleh akun TikTok @pokrolbamboe.Dalam video itu, para polisi tersebut dituding melanggar prosedur karena tak mempunyai surat resmi.Baca juga:Pria yang Culik dan Sandera Anak di Pospol Pejaten Pinjam Rp 300.000 ke Ibu Korban untuk Beli NarkobaSaat dikonfirmasi, Kabid Humas Polda Metro Jaya Kombes Pol Ade Ary Syam membenarkan bahwa Subdirektorat Industri dan Perdagangan (Indag) Ditreskrimsus Polda Metro Jaya mendatangi tempat usaha tersebut.Kedatangan petugas berdasarkan aduan dari masyarakat soal tempat usaha tersebut.“Di lokasi bertemu dengan pemilik lokasi. Petugas mengalami hambatan dalam berkomunikasi, dan maksud dan tujuan petugas sudah dijelaskan oleh rekan-rekan kami, dan selanjutnya proses pendalaman masih terus dilakukan,” kata Ade di Polda Metro Jaya, Rabu (30/10/2024).Ade menegaskan, para polisi yang datang memiliki surat perintah tugas dan surat perintah penyelidikan. Artinya, sudah memenuhi prosedur.Sebelum mendatangi lokasi kejadian, petugas juga telah berkoordinasi dengan Dinas Perindustrian dan Perdagangan di wilayah setempat.“Apa peristiwa yang didalami? Terkait perizinan usaha, di lokasi itu ada kegiatan pengolahan sparepart mobil bekas yang berdasarkan laporan yang diterima dari masyarakat sparepart mobil bekas ini diolah menjadi baru yang proses perizinannya ini sedang didalami,” ungkap Ade.Diketahui, dalam video yang diunggah di media sosial, tempat usaha di Bekasi itu didatangi tiga pria berpakaian bebas dan satu pria mengenakan kemeja putih berlengan pendek yang dilengkapi IDcardberlogo Polda Metro Jaya.Baca juga:Minta Upah Naik 8-10 Persen, Serikat Buruh: Jangankan Bertahan Hidup, Buat Makan Saja SulitSalah satu petugas juga tampak menenteng map merah yang berisi berkas-berkas.Saat ditanya apakah pemilik usaha memiliki NIB dan KLBI perekam video yang diduga pemilik usaha itu mengaku tidak mempunyainya.Dia juga menegaskan, tidak ada kewajibannya memperlihatkan NIB dan KBLI tempat usaha kepada petugas.“Karena bapak bukan ahli perizinan,” kata perekam kepada petugas, dikutipKompas.comdari akun TikTok @pokrolbamboe, Rabu."
